trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0, 'e': 0.0}",30,0,-188.06807592303997,"{0: 17, 1: 0, 2: 8, 3: 4, 4: 1}",0
2,False,"{'a': 0.0, 'e': 0.0}",25,0,-97.84629995004929,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.0, 'e': 0.0}",25,0,-70.68583850320778,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.0, 'e': 0.0}",20,0,-12.447015754447856,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.0, 'e': 0.0}",20,0,-2.8556096379314715,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.0, 'e': 0.0}",25,0,-72.39234357610965,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.0, 'e': 0.0}",25,0,-92.5212751265208,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.0, 'e': 0.0}",30,0,-104.7097897393227,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.0, 'e': 0.0}",20,0,-41.344746948057534,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.0, 'e': 0.0}",20,0,-26.477891137142194,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.0, 'e': 0.0}",30,0,-230.86250240830952,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 5}",0
12,False,"{'a': 0.0, 'e': 0.0}",20,0,4.173083665129461,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.0, 'e': 0.0}",25,0,-223.72556414587783,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
14,False,"{'a': 0.0, 'e': 0.0}",20,14,-2.5833217744115355,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.0, 'e': 0.0}",20,0,-147.11891933167445,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.0, 'e': 0.0}",20,0,-155.616252798515,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.0, 'e': 0.0}",25,0,-265.2268005576562,"{0: 11, 1: 3, 2: 4, 3: 3, 4: 4}",0
18,False,"{'a': 0.0, 'e': 0.0}",35,0,-164.18654541326808,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.0, 'e': 0.0}",30,0,-191.19626550248114,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
20,False,"{'a': 0.0, 'e': 0.0}",30,7,-21.021543058855556,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-134.76226856315597,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-110.18860575103294,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-133.25369113131032,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",35,0,-183.89232000264357,"{0: 20, 1: 5, 2: 6, 3: 2, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-82.48359928514418,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-225.96650465220497,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-178.58491288921385,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-159.1454495348889,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-150.5781278491196,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-173.18933152052554,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
